"UNITID","ADM_RATE","HIGHDEG","PREDDEG","WOMENONLY","UGDS","UGDS_WOMEN","SATMT25","SATMT75","SATMTMID","PCIP42","PCIP45","PCIP26","PCIP11","PCIP29","PCIP41","PCIP40","PCIP27","PCIP14","PCIP15","WOMEN_TOTAL","ENG_DEG_PCNT","MATH_DEG_PCNT","SCIENCE_DEG_PCNT","TECH_DEG_PCNT","STEM_DEG_PCNT","STEM_DEG_TOTAL","STEM_DEG_WOMEN","MN_EARN_WNE_MALE0_P6","COUNT_WNE_MALE0_P6"
"110617",0.7265,"4",3,0,26400,0.5634,528,530,475,0.0729,0.1032,0.0332,0.0121,0,0,0.0143,0.0071,0.0579,0.0073,14874,0.0652,0.0071,0.2236,0.0121,0.308,8131,4066,35800,3420
"110635",0.1602,"4",3,0,27126,0.5212,720,770,705,0.0371,0.2093,0.1187,0.0252,0,0,0.033,0.0427,0.1313,0,14138,0.1313,0.0427,0.3981,0.0252,0.5973,16202,8101,44600,2505
"110644",0.4037,"4",3,0,27547,0.5762,660,700,630,0.106,0.1657,0.2114,0.0182,0,0,0.0197,0.0136,0.0968,0,15873,0.0968,0.0136,0.5028,0.0182,0.6314,17393,8696,39400,3234
"110653",0.3742,"4",3,0,24474,0.539,658,690,620,0.1231,0.1804,0.1359,0.032,0,0,0.0312,0.0137,0.1057,0,13191,0.1057,0.0137,0.4706,0.032,0.622,15223,7612,36500,2121
"110662",0.1856,"4",3,0,29627,0.5568,685,750,680,0.1042,0.2319,0.1551,0.0184,0,0,0.0235,0.0536,0.0802,0,16496,0.0802,0.0536,0.5147,0.0184,0.6669,19758,9879,43500,2943
"110671",0.5829,"4",3,0,18784,0.5169,633,650,585,0.0924,0.208,0.1584,0.0146,0,0,0.0234,0.0221,0.0734,0,9709,0.0734,0.0221,0.4822,0.0146,0.5923,11126,5563,31000,1977
"110680",0.3329,"4",3,0,24801,0.4751,710,760,695,0.0844,0.1924,0.1789,0.0382,0,0,0.0626,0.0239,0.1304,0,11783,0.1304,0.0239,0.5183,0.0382,0.7108,17629,8814,39300,2087
"110705",0.3634,"4",3,0,20237,0.5254,665,710,640,0.1242,0.2579,0.0912,0.0189,0,0,0.0281,0.0273,0.0437,0,10633,0.0437,0.0273,0.5014,0.0189,0.5913,11966,5983,36700,2019
"110714",0.5572,"4",3,0,16277,0.5278,620,650,580,0.1237,0.1479,0.1768,0.0454,0,0,0.042,0.0135,0.0271,0,8591,0.0271,0.0135,0.4904,0.0454,0.5764,9382,4691,31900,1622
"111948",0.4704,"4",3,0,6211,0.596,660,650,605,0.0747,0.0496,0.0348,0.0111,0,0,0.003,0.0044,0,0,3702,0,0.0044,0.1621,0.0111,0.1776,1103,552,40800,1960
"112075",0.8608,"4",3,0,1884,0.6354,567,590,520,0.1008,0.0138,0.0415,0,0,0,0.004,0.0099,0,0,1197,0,0.0099,0.1601,0,0.17,320,160,32900,277
"112084",0.555,"4",3,0,940,0.5021,528,540,480,0.0821,0,0.0373,0,0,0,0,0,0,0,472,0,0,0.1194,0,0.1194,112,56,24100,121
"112260",0.1077,"4",3,0,1293,0.4811,750,770,730,0.0819,0.3927,0.1017,0.0141,0,0,0.0169,0.0169,0.0198,0.0113,622,0.0311,0.0169,0.5932,0.0141,0.6553,847,424,51300,72
"113698",0.8092,"4",3,0,1448,0.7396,585,580,525,0.1026,0.0205,0.1256,0,0,0,0.0103,0,0,0,1071,0,0,0.259,0,0.259,375,188,50300,329
